document_id,title,abstract,category
24402,Quasi-particle interferometry for logical gates,"A quantum computer can only function stably if it can execute gates with extreme accuracy. “Topological protection�?is a road to such accuracies. Quasi-particle interferometry is a tool for constructing topologically protected gates. Assuming the corrections of the Moore-Read Model for v= 5/2's FQHE (Nucl. Phys. B 360, 362 (1991)) we show how to manipulate the collective state of two e/4-charge anti-dots in order to switch said collective state from one carrying trivial SU(2) charge, |1>, to one carrying a fermionic SU(2) charge |ε>. This is a NOT gate on the {|1>, |ε>} qubit and is effected by braiding of an electrically charged quasi particle σ which carries an additional SU(2)-charge. Read-out is accomplished by σ-particle interferometry.",Models of Manipulating Qubits for Computation
13485,Method and relative quantum gate for running a Grover's or a Deutsch-Jozsa's quantum algorithm,"A method of performing a Grover's or a Deutsch-Jozsa's quantum algorithm being input with a binary function defined on a space having a basis of vectors of n of qubits includes carrying out a superposition operation over input vectors for generating components of linear superposition vectors referred to a second basis of vectors of n+1 qubits. An entanglement operation is performed over components of the linear superposition vectors for generating components of numeric entanglement vectors. The method allows a non-negligible time savings because the entanglement operation does not multiply a superposition vector for an entanglement matrix, but generates components of an entanglement vector simply by copying or inverting respective components of the superposition vector depending on values of the binary function. An interference operation is performed over components of the numeric entanglement vectors for generating components of output vectors.",Applications of Quantum Computing
15354,Methods for controlling qubits,"A control system for an array of qubits is disclosed. The control system according to the present invention provides currents and voltages to qubits in the array of qubits in order to perform functions on the qubit. The functions that the control system can perform include read out, initialization, and entanglement. The state of a qubit can be determined by grounding the qubit, applying a current across the qubit, measuring the resulting potential drop across the qubit, and interpreting the potential drop as a state of the qubit. A qubit can be initialized by grounding the qubit and applying a current across the qubit in a selected direction for a time sufficient that the quantum state of the qubit can relax into the selected state. In some embodiments, the qubit can be initialized by grounding the qubit and applying a current across the qubit in a selected direction and then ramping the current to zero in order that the state of the qubit relaxes into the selected state. The states of two qubits can be entangled by coupling the two qubits through a switch. In some embodiments, the switch that is capable of grounding the qubits can also be utilized for entangling selected qubits.",Methods of Building Qubits
12598,Encoding and error suppression for superconducting quantum computers,"The present invention involves a quantum computing structure, comprising: one or more logical qubits, which is encoded into a plurality of superconducting qubits; and each of the logical qubits comprises at least one operating qubit and at least one ancilla qubit. Also provided is a method of quantum computing, comprising: performing encoded quantum computing operations with logical qubits that are encoded into superconducting operating qubits and superconducting ancilla qubits. The present invention further involves a method of error correction for a quantum computing structure comprising: presenting a plurality of logical qubits, each of which comprises an operating physical qubit and an ancilla physical qubit, wherein the logical states of the plurality of logical qubits are formed from a tensor product of the states of the operating and ancilla qubits; and wherein the states of the ancilla physical qubits are suppressed; and applying strong pulses to the grouping of logical qubits.",Address Obstacles to Quantum Computation
29179,Quantum logic using three energy levels,"A method for quantum computing with a quantum system comprising a first energy level, a second energy level, and a third energy level. The first energy level and said second energy level are capable of being degenerate with respect to each other. In the method a signal is applied to the quantum system. The signal has an alternating amplitude at an associated frequency such that (i) the frequency of the signal correlates with an energy level separation between the first energy level and the third energy level or (ii) the frequency of the signal correlates with an energy level separation between the second energy level and the third energy level. The signal induces an oscillation in the state of the quantum system between the first energy level and the second energy level.",Methods of Building Qubits
15520,Quantum computation with quantum dots and terahertz cavity quantum electrodynamics,"A quantum computer is proposed in which information is stored in the two lowest electronic states of doped quantum dots. Multiple quantum dots are located in a microcavity, and a pair of gates controls the energy levels in each quantum dot. A controlled NOT (CNOT) operations involving any pair of quantum dots can be effected by a sequence of gate voltage pulses which tune the quantum dot energy levels into resonance with frequencies of the cavity or a laser. The duration of a CNOT operation is estimated to be much shorter than the time for an electron to decohere by emitting an acoustic phonon.",Methods of Building Qubits
23435,Non-demolition photon detector that preserves input state characteristics,"A device capable of efficiently detecting a single-photon signal preserves a photon characteristic such as polarization or angular momentum. The device can include a beam splitter that splits an input photon state into modes that are distinguished by states of a characteristic of signal photons in the input photon state, a non-destructive measurement system capable of measuring a total number of photons in the modes without identifying a photon number for any individual one of the modes; and a beam combiner positioned to combine the modes after output from the non-destructive detection system.",Methods of Building Qubits
21748,Methods for transmitting data across quantum interfaces and quantum gates using same,"Quantum gaps exist between an origin and a destination that heretofore have prevented reliably utilizing the advantages of quantum computing. To predict the outcome of instructions with precision, the input data, preferably a qubit, is collapsed to a point value within the quantum gap based on a software instruction. After collapse the input data is restructured at the destination, wherein dynamics of restructuring are governed by a plurality of gap factors as follows: computational self-awareness; computational decision logic; computational processing logic; computational and network protocol and logic exchange; computational and network components, logic and processes; provides the basis for excitability of the Gap junction and its ability to transmit electronic and optical impulses, integrates them properly, and depends on feedback loop logic; computational and network component and system interoperability; and embodiment substrate and network computational physical topology.",Models of Manipulating Qubits for Computation
27583,"Systems, methods and apparatus for anti-symmetric qubit-coupling","Apparatus, articles and methods relate to anti-symmetric superconducting devices for coupling superconducting qubits.",Methods of Building Qubits
16845,Dense and randomized storage and coding of information,"We describe a method for dense encoding of information. Bennet and Wiesner (Phys. Rev. Lett. 69:2881-2884, 1992), using EPR-pairs, showed that n bits can be encoded by n/2 quantum-bits, from which the original bits can be retrieved. Here, in a completely different (non-quantum) setting, we give a method for more dense encoding: In our method n bits x1, x2, . . . , xn are mapped by a linear transform B over the 6-element ring Z6 to numbers z1, z2, . . . , zt from ring Z6 with t=no(1)(i.e., much fewer numbers) (Quantity o(1) here denotes a positive number which goes to 0 as n goes to infinity), then, by applying another linear transform C to these zi's, we will get back n elements of ring Z6, x�?, x�?, . . . , x′n, where, e.g., x�? may have the form x�?=x1+3x2+4x3. One can get back x1 simply by running through the values of xi on the set 0, 1, 2, 3, 4, 5, and noticing that only x1 has period 6, (3x2 has period 2, 4x3 has period 3). Our results generalize for any non-prime-power composite number m instead of 6. We also apply this method for fast computation of matrix multiplication and for compacting and extending matrices with linear transforms.",Applications of Quantum Computing
14324,Method and hardware architecture for controlling a process or for processing data based on quantum soft computing,A method of controlling a process driven by a control signal for producing a corresponding output includes producing an error signal as a function of a state of the process and of a reference signal. A control signal is generated as a function of the error signal and of a parameter adjustment signal. The control signal is applied to the process. A derived signal representative of a quantity to be minimized is calculated by processing paired values of the state of the process and the control signal. A correction signal is calculated from a set of several different values of the control signal that minimizes the derived signal. The parameter adjustment signal is calculated by a neural network and fuzzy logic processor from the error signal and the correction signal. The correction signal is periodically calculated by a Quantum Genetic Search Algorithm that results from a merging of a genetic algorithm and a quantum search algorithm.,Applications of Quantum Computing
21879,Methods for determining relative phase differences in entangled quantum states,"Various embodiments of the present invention are directed to methods for determining a phase shift acquired by an entangled N-qubit system represented by a NOON state. In one embodiment, a probe electromagnetic field is coupled with each qubit system. The phase shift acquired by the qubit systems is transferred to the probe electromagnetic field by transforming each qubit-system state into a linear superposition of qubit basis states. An intensity measurement is performed on the probe electromagnetic field in order to obtain a corresponding measurement result. A counter associated with a measurement-result interval is incremented, based on the measurement result falling within the measurement-result interval. A frequency distribution is produced by normalizing the counter associated with each measurement-result interval for a number of trials. The phase shift is determined by fitting a probability distribution associated with the probe electromagnetic field to the frequency distribution as a function of the phase shift.",Address Obstacles to Quantum Computation
23626,Superconducting phase-charge qubits,"A quantum computing structure comprising a superconducting phase-charge qubit, wherein the superconducting phase-charge qubit comprises a superconducting loop with at least one Josephson junction. The quantum computing structure also comprises a first mechanism for controlling a charge of the superconducting phase-charge qubit and a second mechanism for detecting a charge of the superconducting phase-charge qubit, wherein the first mechanism and the second mechanism are each capacitively connected to the superconducting phase-charge qubit.",Methods of Building Qubits
12819,Quantum dot manipulating method and quantum dot production/manipulation apparatus,A quantum dot manipulating method and a generation/manipulation apparatus are provided which can control the size of a large number of generated quantum dots on or below the order of percent which is required for optical applications of the dots.Quantum dots are generated by shining a dot production laser (4a) onto a solid object (3) in a quantum dot production/manipulation apparatus (1) containing superfluid helium (7) therein. A dot manipulation laser (5a) is shone onto the generated quantum dots to manipulate the quantum dots.,Methods of Building Qubits
21208,"Systems, devices, and methods for controllably coupling qubits",A coupling system to couple a first and a second qubit in response to a state of the coupling system that may be set by two input signals.,Methods of Building Qubits
11714,Universal quantum computing,"The present invention is directed to systems and methods of providing universal quantum computation that avoid certain external control fields that either are hard or impossible to implement, or are serious sources of decoherence (errors). The systems and methods extend the set of scalable physical platforms suitable for implementing quantum computation in solid state, condensed matter and atomic and molecular physics systems. The invention includes identifying of suitable encodings of logical qubits into three physical qubits—i.e. three quantum mechanical systems of two levels—and performing quantum computing operations by changing the quantum states of physical qubits making up one or more logical qubits using only generalized anisotropic exchange interactions. This includes performing a quantum unitary operation over a single logical qubit or a non-local (entangling) two-qubit unitary operation. An exemplary embodiment of the invention uses a physical qubit represented by two electronic quantum levels of a nanoparticle supported in an electromagnetic cavity. The physical qubit, i.e. its quantum levels, can be tuned by electromagnetic field from a pulsed laser, so that the qubit can be brought into the interaction (resonance) with another physical qubit via exchange of cavity quantum electromagnetic modes.",Models of Manipulating Qubits for Computation
23601,Quantum information processing method and apparatus,"A method and apparatus for quantum information processing is disclosed in which logical qubits |0>L and |1>L are respectively encoded by different near orthogonal coherent states |β> and |α>, where <α|β>=0, |α> and |β> being the computational basis states for the qubits, for example, in which logical qubits |0>L and |1>L are respectively encoded by different ones of the vacuum state |0> and a multi-photon optical coherent state |α> which states are the computational basis states for the qubits. This provide an efficient scheme for linear optics quantum processing which is deterministic and for which qubit readout can use homodyne detection which is highly efficient. The invention finds application in quantum computation and quantum communication.",Methods of Building Qubits
28496,Arbitrary quantum operations with a common coupled resonator,"A quantum logic gate is formed from multiple qubits coupled to a common resonator, wherein quantum states in the qubits are transferred to the resonator by transitioning a classical control parameter between control points at a selected one of slow and fast transition speeds, relative to the characteristic energy of the coupling, whereby a slow transition speed exchanges energy states of a qubit and the resonator, and a fast transition speed preserves the energy states of a qubit and the resonator.",Methods of Building Qubits
11691,Method and circuit for reading quantum state,"A single electron-transistor is used to read out charge states of two coupled qubits formed by two Cooper pair boxes. Detection is made about a gate voltage shift of the peak of the current that flows in the single electron transistor in accordance with the charge states. Since the current peak position varies depending on the particular charge state, all four charge states can be independently measured, or read out.",Methods of Building Qubits
27238,Quantum computing method and quantum computer,"An (N+1) number of physical systems each having five energy levels |0>, |1>, |2>, |3>, and |4>, a qubit being expressed by |0> and |1>, are provided in an optical cavity having a cavity mode resonant with |2>-|3>, such that an N number of control systems and a target system are prepared. The target system is irradiated with light pulses resonant with |0>-|4>, |1>-|4>, and |2>-|4> to change a superposed state |c> to |2>. All of the physical systems are irradiated with light pulses resonant with |0>-|3> and |1>-|3>, and a phase of the light pulse resonant with the target system is shifted by a specific value dependent on a unitary transformation U. The target system is irradiated with light pulses resonant with |0>-|4>, |1>-|4>, and |2>-|4>, with a phase difference between them being set to a specific value dependent on the unitary transformation U, to return |2> to |c>.",Methods of Building Qubits
27782,Quasi-particle interferometry for logical gates,"A quantum computer can only function stably if it can execute gates with extreme accuracy. “Topological protection�?is a road to such accuracies. Quasi-particle interferometry is a tool for constructing topologically protected gates. Assuming the corrections of the Moore-Read Model for ν=5/2's FQHE (Nucl. Phys. B 360, 362 (1991)) we show how to manipulate the collective state of two e/4-charge anti-dots in order to switch said collective state from one carrying trivial SU(2) charge, |1>, to one carrying a fermionic SU(2) charge |ε>. This is a NOT gate on the {|1>, |ε>} qubit and is effected by braiding of an electrically charged quasi particle σ which carries an additional SU(2)-charge. Read-out is accomplished by σ-particle interferometry.",Models of Manipulating Qubits for Computation
17057,"Systems, devices, and methods for controllably coupling qubits","A transverse coupling system may include a first qubit, a second qubit, a first conductive path capacitively connecting the first qubit and the second qubit, a second conductive path connecting the first qubit and the second qubit, and a dc SQUID connecting the first and the second conductive paths wherein the compound junction loop is threaded by an amount of magnetic flux.",Methods of Building Qubits
17383,Quantum processor,One embodiment of the invention includes a quantum processor system. The quantum processor system includes a first resonator having a first characteristic frequency and a second resonator having a second characteristic frequency greater than the first characteristic frequency. A qubit cell is coupled to each of the first resonator and the second resonator. The qubit cell has a frequency tunable over a range of frequencies including the first characteristic frequency and the second characteristic frequency. A classical control mechanism is configured to tune the frequency of the qubit cell as to transfer quantum information between the first resonator and the second resonator.,Methods of Building Qubits
26364,Microwave readout for flux-biased qubits,"A method for determining whether a quantum system comprising a superconducting qubit is occupying a first basis state or a second basis state once a measurement is performed is provided. The method, comprising: applying a signal having a frequency through a transmission line coupled to the superconducting qubit characterized by two distinct, separate, and stable states of differing resonance frequencies each corresponding to the occupation of the first or second basis state prior to measurement; and measuring at least one of an output power or phase at an output port of the transmission line, wherein the measured output power or phase is indicative of whether the superconducting qubit is occupying the first basis state or the second basis state.",Methods of Building Qubits
18340,Measuring quantum states of superconducting resonators,"A method for measuring the quantum state of a resonator includes, exciting an input port of a circuit with signal, measuring a phase shift of the signal at an output port of the circuit, wherein the resonator is coupled to the input and the output ports, and calculating a quantum state of the resonator as a function of the measured phase shift of the signal.",Methods of Building Qubits
18404,"Systems, methods, and apparatus for automatic image recognition",A method of improving the accuracy and computation time of automatic image recognition by the implementation of association graphs and a quantum processor.,Applications of Quantum Computing
12192,Spin-bus for information transfer in quantum computing,A spin bus quantum computing architecture includes a spin bus formed of multiple strongly coupled and always on qubits that define a string of spin qubits. A plurality of information bearing qubits are disposed adjacent a qubit of the spin bus. Electrodes are formed to the information bearing qubits and the spin bus qubits to allow control of the establishment and breaking of coupling between qubits to allow control of the establishment and breaking of coupling between each information bearing qubit and the spin bus qubit adjacent to it. The spin bus architecture allows rapid and reliable long-range coupling of qubits.,Methods of Building Qubits
17761,Method and apparatus for quantum adiabatic pattern recognition,Methods and apparatuses for pattern recognition involve quantum-mechanical calculations. Pattern recognition can be achieved by considering a quantum system and its Hamiltonian dynamics. The dynamics are calculated on the basis of an initial Hamiltonian indicating an initial quantum state and on the basis of a final Hamiltonian. The final Hamiltonian depends on an input pattern and reference patterns. Transformations according to the Hamiltonian dynamics for the quantum system are applied to generate a final quantum state of said quantum system. Depending on said final quantum state a similarity between said input pattern and said reference patterns is determined.,Models of Manipulating Qubits for Computation
15851,Quantum dot manipulating method and quantum dot production/manipulation apparatus,A quantum dot manipulating method and a generation/manipulation apparatus are provided which can control the size of a large number of generated quantum dots on or below the order of percent which is required for optical applications of the dots.Quantum dots are generated by shining a dot production laser (4a) onto a solid object (3) in a quantum dot production/manipulation apparatus (1) containing superfluid helium (7) therein. A dot manipulation laser (5a) is shone onto the generated quantum dots to manipulate the quantum dots.,Methods of Building Qubits
22656,"Systems, devices, and methods for controllably coupling qubits","A system for communicably coupling between two superconducting qubits may include an rf-SQUID coupler having a loop of superconducting material interrupted by a compound Josephson junction and a first magnetic flux inductor configured to controllably couple to the compound Josephson junction. The loop of superconducting material may be positioned with respect to a first qubit and a second qubit to provide respective mutual inductance coupling therebetween. The coupling system may be configured to provide ferromagnetic coupling, anti-ferromagnetic coupling, and/or zero coupling between the first and second qubits. The rf-SQUID coupler may be configured such that there is about zero persistent current circulating in the loop of superconducting material during operation.",Methods of Building Qubits
29545,Data integrity methods for quantum computational plasmonic information representation and processing systems,Data integrity methods are disclosed for quantum computational plasmonic information representation and processing systems. Also disclosed are methods of saving energy in such applications. Also disclosed are methods of monitoring such applications.,Address Obstacles to Quantum Computation
19569,Method and apparatus for evolving a quantum system using a mixed initial hamiltonian comprising both diagonal and off-diagonal terms,"Various adaptations to adiabatic quantum computation and quantum annealing are described. These adaptations generally involve tailoring an initial Hamiltonian so that a local minimum is avoided when a quantum processor is evolved from the initial Hamiltonian to a problem Hamiltonian. The initial Hamiltonian may represent a mixed Hamiltonian that includes both diagonal and off-diagonal terms, where the diagonal terms at least partially define a center point of a first computation space that is at least partially contained within a second computation space. A problem Hamiltonian may be evolved into a low energy state by inhomogeneously inducing disorder in the qubits of the quantum processor. A higher degree of disorder may be induced in a subset of qubits predicted to contribute to a local minimum of the problem Hamiltonian.",Applications of Quantum Computing
25806,Method and apparatus for controlling qubits with single flux quantum logic,"In one embodiment, the disclosure relates to a method and apparatus for controlling the energy state of a qubit by bringing the qubit into and out of resonance by coupling the qubit to a flux quantum logic gate. The qubit can be in resonance with a pump signal, with another qubit or with some quantum logic gate. In another embodiment, the disclosure relates to a method for controlling a qubit with RSFQ logic or through the interface between RSFQ and the qubit.",Methods of Building Qubits
18126,"Systems, methods and apparatus for local programming of quantum processor elements","Systems, methods and apparatus for a scalable quantum processor architecture. A quantum processor is locally programmable by providing a memory register with a signal embodying device control parameter(s), converting the signal to an analog signal; and administering the analog signal to one or more programmable devices.",Applications of Quantum Computing
12441,Twisted track interferometer for producing magic states,"A twisted track interferometer (TTI) for producing magic states is disclosed. The spin of ½-vortices may be exploited to produce magic states. The disclosed “twisted track interferometer�?is a “topological twist�?on the conventional Pabre-Pero interferometer adapted to topological superconductors. In the disclosed TTI, the probe particles may be Josephson vortices (JVs). JVs are estimated to be light and will tunnel more easily than Abrikosov vortices. Also, the disclosed TTI does not require multiple tunneling events. Rather, the JVs are propelled down thin insulating tracks within a 2D topological p-wave superconductor by a Magnus force generated by a tunneling supercurrent across the tracks. The JVs encounter tunneling junctions as they pass into the arms of the TTI.",Address Obstacles to Quantum Computation
23836,"Systems, methods, and apparatus for solving problems","A method of improving the accuracy and computation time of automatic image recognition by the implementation of association graphs and a quantum processor.A method of solving problems using a quantum processor by casting a problem as a quadratic unconstrained binary optimization (“QUBO�? problem, mapping the QUBO problem to the quantum processor, and evolving the quantum processor to produce a solution to the QUBO problem.",Applications of Quantum Computing
21490,Use of sack geometry to implement a single qubit phase gate,"An implementation of a single qubit phase gate for use in a quantum information processing scheme based on the υ=5/2 fractional quantum Hall (FQH) state is disclosed. Using sack geometry, a qubit consisting of two σ-quasiparticles, which may be isolated on respective antidots, may be separated by a constriction from the bulk of a two-dimensional electron gas in the υ=5/2 FQH state. An edge quasiparticle may induce a phase gate on the qubit. The number of quasiparticles that are allowed to traverse the edge path defines which gate is induced. For example, if a certain number of quasiparticles are allowed to traverse the path, then a π/8 gate may be effected.",Methods of Building Qubits
20433,"Systems, methods and apparatus for factoring numbers","Systems, methods and apparatus for factoring numbers are provided. The factoring may be accomplished by creating a factor graph, mapping the factor graph onto an analog processor, initializing the analog processor to an initial state, evolving the analog processor to a final state, and receiving an output from the analog processor, the output comprising a set of factors of the number.",Applications of Quantum Computing
20794,Quantum computing method and a quantum computer,"In an operation of two qubit gate having failure information related to success or failure, by using a code to concatenate N-error-correcting code transversally executing a Pauli gate, a Hadamard gate and a CNOT gate, an error-correction is executed by an error-correcting teleportation, and the CNOT gate is executed to an encoded qubit by the error-correcting teleportation. In Bell measurement of the error-correcting teleportation, when a measurement result of non-encoded qubit is processed, by suitably defining failure information of the encoded qubit of level (l+1) from the failure information of encoded qubits of level l, the measurement result of the encoded qubit of each level is determined, and the failure information of the encoded qubit of each level is defined. As a result, a measurement result of a logical qubit as the encoded qubit of the highest level is determined.",Models of Manipulating Qubits for Computation
18780,Josephson quantum computing device and integrated circuit using such devices,"A Josephson quantum computing device and an integrated circuit using Josephson quantum computing devices which can realize a NOT gate operation controlled with 2 bits will be provided. The Josephson quantum computing device (1) comprises: a superconducting ring member (10) having a π-junction (6) and a 0-junction (7); and a quantum state detecting member (20) constituted by a superconducting quantum interference device arranged outside of the superconducting ring member, wherein a bonding and an antibonding state brought about by a tunneling effect between a |�? and a |�? state as two states degenerate in energy of the superconducting ring member (10) are regarded as quantum bits. The bonding and antibonding states as the quantum bits are read out by the quantum state detecting member (20). The two bit controlled NOT gate operation can be performed by the two quantum bits comprising said quantum bits.",Methods of Building Qubits
25000,Systems and methods for quantum computation using real physical hardware,"Iterative approaches to quantum computation are described. Incongruities in the behavior of the various individual elements in a quantum processor may be managed by establishing a set of equivalent configurations for the elements of the quantum processor. The quantum processor is programmed and operated using each equivalent configuration to determine a set of solutions. The solutions are evaluated to determine a preferred solution that best satisfies at least one criterion. Furthermore, thermodynamic effects from operating a quantum processor at non-absolute zero temperature can cause the ground state to be the most probable state into which the system will settle. By running multiple iterations the ground state may be identified as the state with the most frequent reoccurrences. Alternatively, the energy of each unique state may be calculated and the state that corresponds to the lowest energy may be returned as the solution to the problem.",Methods of Building Qubits
16838,Method for sampling probability distributions using a quantum computer,"We describe a method for using a classical computer to generate a sequence of elementary operation (SEO) that can be used to operate a quantum computer, thereby inducing the quantum computer to sample an arbitrary probability distribution. The probability distribution being sampled is specified in the form of a Bayesian network.",Applications of Quantum Computing
